99735|||Agrar GmbH Mauderode-Herreden|Werther|624833|2083|036332 2380||Dorfstraße 38|||Landwirtschaftsbetrieb|Agrar GmbH Mauderode-Herreden|None
39397|||Agrarwirtsch. Schwanebeck GmbH|Schwanebeck Stadt|623243|2077|039424 203||Huyweg 26|||Landwirtschaft|Agrarwirtschaft Schwanebeck GmbH|None
7426|||Agrargenossenschaft Königsee eG|Königsee-Rottenbach Stadt|622464|2075|036738 65460||Am Schiefer 1||||Agrargenossenschaft Königsee eG|http://www.agrar-koenigsee.de/
6647|||AG Nebra e.G. Sitz Altenroda|Bad Bibra Stadt|621576|2072|034465 20233||Kalter Hase 96|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft e.G. Nebra|http://www.agrar-direktzahlungen.de/EU-Agrarzahlungen+2013+-+AG+Nebra+eG+Sitz+Altenroda+06647+Bad+Bibra_poi_standort20133121.html
4749|||Agrar Aktiengesellschaft Ostrau|Ostrau|618920|2063|034324 21980||Mügelner Str. 41C|||Landwirtschaftsbetrieb|Agrar AG Ostrau|None
17179|||Agrargen. Boddin e.G.|Boddin|614695|2049|039971 12197||Groß Lunow 28|||Landwirtschaftliche Produkte Vertrieb|Agrargenossenschaft e.G. Boddin|None
39343|||Agrarges. Börde mbH Rottmersl.|Hohe Börde|611878|2040|039206 52236||Vor dem Tore 13||||Agrar-Gesellschaft "Börde" mbH|http://www.agrargesellschaft-boerde.de/wp/
3249|||AG Sonnewalde e.G.|Sonnewalde Stadt|611806|2039|035323 427||Großkrausniker Str. 2|||Unternehmensberater|Agrargenossenschaft Sonnewalde eG|http://www.agrar-sonnewalde.de/
39606|||AG Krevese-Drüsedau eG|Osterburg (Altmark) Hansestadt|610915|2036|03937 210070||Hauptstraße 51|||Landmaschinenhändler|Agrar-Genossenschaft Krevese-Drüsedau eG|None
17121|||Agrar GmbH  P und T Pensin/Kletzin|Kletzin|610418|2035|039998 31891||Loitzer Chaussee 2||||AGRAR-GmbH Pflanzen- und Tierproduktion Pensin/ Kletzin|None
8541|||Agrargenossenschaft Theuma-Neuensalz e.G.|Theuma|608606|2029|037463 88272||Stöckigter Weg 22|||Landwirtschaftsbetrieb|Agrargenossenschaft Theuma-Neuensalz e.G.|http://www.ag-theuma.de/
6712|||AB Kayna e.G.|Zeitz Stadt|608297|2028|034426 21274||Sporaer Str. 9|||Landwirtschaftsbetrieb|Agrarbetrieb Kayna e.G.|None
4626|||Agrargenossenschaft Nöbdenitz e.G.|Nöbdenitz|607915|2026|034496 22241||Bergstraße 16|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft Nöbdenitz e.G.|http://www.agrar-noebdenitz.de/
4626|||Agrargenossenschaft Thonhausen e.G.|Thonhausen|607314|2024|034491 23145||Uferstraße 1A|||Vertriebsdienst|Agrargenossenschaft Thonhausen e.G.|http://www.ag-thonhausen.de/
